Y,X1,X2,X3,X4,X5,YEAR,STATES
0,0,229814.256,146371.4934,27090.05365,15902.65995,2022,BAYELSA
0,0,268340,151155.5835,59341.82419,15902.65995,2023,BAYELSA
0,0,48718.56529,98730.9283,10896.13748,17179.63819,2019,BENUE
0,0,47213.3596,126125.6438,12382.53577,10463.67428,2020,BENUE
0,0,47330.99232,128349.1376,13429.12894,12601.15054,2021,BENUE
0,0,60243.85059,141294.3188,13429.12894,15952.84697,2022,BENUE
0,0,161990,187181.2055,29871.34698,15952.84697,2023,BENUE
0,1,54866.40803,83599.77178,5577.419163,8175.248326,2019,BORNO
0,1,60083.2801,89049.42382,7927.153858,11811.33336,2020,BORNO
0,1,56725.53598,95629.38823,8119.386851,18738.21289,2021,BORNO
0,1,72064.47012,96135.89436,8119.386851,19061.94649,2022,BORNO
0,1,176940,98771.22199,20487.77655,19061.94649,2023,BORNO
1,0,35290.95853,166953.5849,68121.10973,22597.06398,2019,CROSS-RIVER
1,0,32892.82437,163162.0015,73333.62598,16355.59547,2020,CROSS-RIVER
1,0,35262.54648,159817.9117,93982.7428,22912.28117,2021,CROSS-RIVER
1,1,44878.18739,197210.1527,93982.7428,21098.94783,2022,CROSS-RIVER
1,1,118800,220201.4824,211125.1044,21098.94783,2023,CROSS-RIVER
0,0,47567.00794,233892.6948,20384.59129,64678.79699,2019,DELTA
0,0,186828.3139,248450.7462,23643.49554,59732.88266,2020,DELTA
0,0,109683.5775,154613.4307,26855.33947,80203.62375,2021,DELTA
0,0,348649.1142,304245.9159,26855.33947,85901.60775,2022,DELTA
0,0,483570,373407.7445,59271.7053,85901.60775,2023,DELTA
1,0,26021.57269,46737.75279,21253.65704,9823.523852,2019,EBONYI
1,0,43963.56071,442137.3048,25126.88472,15896.85355,2020,EBONYI
1,1,34783.30597,42160.05,26272.54692,13752.31331,2021,EBONYI
1,1,53807.92643,76496.8061,26272.54692,12426.17854,2022,EBONYI
1,1,107450,70435.7539,94905.77994,12426.17854,2023,EBONYI
1,1,35939.85436,95690.77124,89952.1586,35227.99486,2019,EDO
1,1,58405.58256,80788.64363,106794.2941,28017.30919,2020,EDO
1,1,48144.65944,78898.66255,117140.2886,42427.20532,2021,EDO
1,1,87498.33589,110591.6848,117140.2886,47458.12807,2022,EDO
1,0,161690,123879.9491,314448.1481,47458.12807,2023,EDO
1,1,28532.13471,86911.501,33568.17639,15374.71787,2019,EKITI
1,1,39522.98372,84723.12811,39255.91398,10557.55395,2020,EKITI
1,1,32517.69606,106392.267,47361.91589,13620.43313,2021,EKITI
1,1,44865.78896,117147.8758,47361.91589,17029.72661,2022,EKITI
1,1,107500,110573.5323,121049.294,17029.72661,2023,EKITI
0,0,36091.34185,61025.44396,40427.04566,31142.9633,2019,ENUGU
0,0,49887.51,68088.63724,47334.90554,23644.69859,2020,ENUGU
0,0,42504.652,69169.59401,54209.84549,26717.81904,2021,ENUGU
0,0,61668.37272,91856.18285,54209.84549,28691.84302,2022,ENUGU
0,0,133290,92213.23908,120451.1453,28691.84302,2023,ENUGU
0,1,23801.97933,84010.33911,11855.87253,6832.02608,2019,GOMBE
0,1,39923.71842,84968.84936,73333.62598,8637.425194,2020,GOMBE
0,1,32255.11206,69131.4145,14569.89373,10563.68047,2021,GOMBE
0,1,48259.90862,139322.8957,14569.89373,13597.16118,2022,GOMBE
0,1,99050,88974.63178,54881.15407,13597.16118,2023,GOMBE
0,1,48626.34421,164435.8235,21112.56132,6182.963983,2019,IMO
0,1,55724.44461,150197.0898,36620.40127,7668.385394,2020,IMO
0,1,51497.85758,205189.4613,22918.51356,12750.3709,2021,IMO
0,1,66840.52426,204224.2917,22918.51356,19337.13649,2022,IMO
0,1,152390,217112.6085,77371.35647,19337.13649,2023,IMO
1,1,51023.24614,34610.52695,10090.16718,12926.65815,2019,JIGAWA
1,1,56365.31076,30969.50369,11779.9646,20659.74113,2020,JIGAWA
1,1,53520.20314,31355.69995,12105.43092,16492.02873,2021,JIGAWA
1,1,70546.8898,43952.16758,12105.43092,20549.41439,2022,JIGAWA
1,1,170740,42757.07396,25795.43601,20549.41439,2023,JIGAWA
1,1,56790.05765,78898.31116,180858.9001,44956.57658,2019,KADUNA
1,1,63126.50777,68754.36108,216211.7355,50768.52341,2020,KADUNA
1,1,60750.7484,61711.00861,257352.6275,52859.70898,2021,KADUNA
1,1,70555.19784,83294.92866,257352.6275,58094.59109,2022,KADUNA
1,1,170910,85519.76606,587072.2136,58094.59109,2023,KADUNA
1,1,92155.03434,107753.7745,22530.25752,40593.70133,2019,KANO
1,1,81265.34635,116934.6046,26061.28228,31819.87521,2020,KANO
1,1,83531.83603,111896.4574,45153.78177,40401.65253,2021,KANO
1,1,96265.9853,122361.9426,45153.78177,42509.9117,2022,KANO
1,1,261370,122361.9426,107920.9538,42509.9117,2023,KANO
1,1,68388.37993,66164.1639,25784.79699,8496.74212,2019,KATSINA
1,1,61394.12097,48031.27284,21403.06146,11382.57978,2020,KATSINA
1,1,64202.25825,66675.63949,24183.85856,12039.13867,2021,KATSINA
1,1,66329.09225,62374.80915,24183.85856,13045.38344,2022,KATSINA
1,1,191430,99313.69404,50310.6859,13045.38344,2023,KATSINA
1,1,42729.44452,69265.4934,14354.10793,7367.334837,2019,KEBBI
1,1,51180.57737,56810.54883,16615.01405,13778.2608,2020,KEBBI
1,1,46229.45533,52328.13227,18359.93421,9857.039462,2021,KEBBI
1,1,62878.13798,61310.17125,18359.93421,9146.249908,2022,KEBBI
1,1,143930,60690.87748,40295.69343,9146.249908,2023,KEBBI
1,1,41199.06678,132464.6622,9944.873939,17199.20641,2019,KOGI
1,1,49981.49107,68092.54807,11490.13028,17455.21953,2020,KOGI
1,1,45394.99983,70660.14164,23682.11918,23405.61386,2021,KOGI
1,1,58442.96834,93621.76504,23682.11918,18214.43426,2022,KOGI
1,1,136970,121808.3503,51174.95462,18214.43426,2023,KOGI
1,1,31439.26317,63045.91299,15355.75895,30637.31634,2019,KWARA
1,1,42095.64874,63632.95468,17931.1288,19623.99203,2020,KWARA
1,1,35847.74724,93372.80324,20124.90427,26961.01449,2021,KWARA
1,1,42873.6507,109382.057,20124.90427,35756.94937,2022,KWARA
1,1,115110,109162.7989,44562.40168,35756.94937,2023,KWARA
1,1,104967.4434,444227.0015,455158.2369,646613.5162,2019,LAGOS
1,1,115932.6205,508778.6945,535870.7181,659995.8374,2020,LAGOS
1,1,113519.9657,658959.7282,560715.0911,753464.6837,2021,LAGOS
1,1,160928.9334,807208.6342,560715.0911,651145.6331,2022,LAGOS
1,1,371390,1048703.617,1243798.891,651145.6331,2023,LAGOS
0,1,27085.45044,56511.5686,18904.29841,14534.82061,2019,NASARAWA
0,1,43104.56684,59390.35315,22322.97445,16079.12927,2020,NASARAWA
0,1,34994.06196,54097.10586,23772.29414,20674.18546,2021,NASARAWA
0,1,54493.45195,71437.89099,23772.29414,19277.60794,2022,NASARAWA
0,1,111540,71151.08127,51888.17046,19277.60794,2023,NASARAWA
0,1,51625.02054,60614.4291,22817.40004,13603.7884,2019,NIGER
0,1,54567.99499,66777.35065,27032.06831,10523.62981,2020,NIGER
0,1,51468.59044,83400.39065,31053.31713,16224.67697,2021,NIGER
0,1,63284.20447,95590.89993,31053.31713,16930.25957,2022,NIGER
0,1,155620,139802.107,68056.53455,16930.25957,2023,NIGER
1,1,37260.37288,142289.2048,32798.61656,81420.13111,2019,OGUN
1,1,37679.43298,153490.666,39429.88914,50561.11946,2020,OGUN
1,1,39763.76064,232622.135,61119.30773,100733.6718,2021,OGUN
1,1,43315.02331,270450.0242,61119.30773,120584.1571,2022,OGUN
1,1,120720,278675.1207,168833.0067,120584.1571,2023,OGUN
1,1,35531.64733,67502.41461,26996.1646,30135.88192,2019,ONDO
1,1,46651.76169,74663.20125,33312.34726,24848.46619,2020,ONDO
1,1,41631.72887,63812.13955,40675.63593,30833.97273,2021,ONDO
1,1,75890.3883,77150.36091,40675.63593,32640.6609,2022,ONDO
1,1,156330,71502.24251,80206.47716,32640.6609,2023,ONDO
1,1,48136.16162,138654.3833,31130.41654,17701.1264,2019,OSUN
1,1,30627.10789,134110.8435,40934.66652,19670.81824,2020,OSUN
1,1,41698.16796,134700.8617,41167.64716,21855.39256,2021,OSUN
1,1,41533.60698,148366.7124,41167.64716,24605.34005,2022,OSUN
1,0,141480,139802.107,87247.48851,24605.34005,2023,OSUN
1,0,63021.20369,91567.9439,32664.22236,26585.81357,2019,OYO
1,0,53664.58845,94496.18453,31889.78858,38042.73304,2020,OYO
1,0,66271.67687,142561.8779,32401.51317,52088.67096,2021,OYO
1,0,74555.21968,161180.8783,32401.51317,62246.15046,2022,OYO
1,0,207370,159944.7263,63830.58472,62246.15046,2023,OYO
1,1,37617.63619,134013.6935,10748.7296,16480.11159,2019,PLATEU
1,1,35644.41213,137779.6598,14448.98943,19122.3758,2020,PLATEU
1,1,37480.9585,150496.2182,14532.69496,21426.01741,2021,PLATEU
1,1,46460.78364,149013.4407,14532.69496,15927.00174,2022,PLATEU
1,1,121710,173932.8256,32249.23627,15927.00174,2023,PLATEU
1,0,49882.75612,266936.2258,25567.42098,169600.3116,2019,RIVERS
1,0,141187.0413,266936.2258,36841.52963,117189.7292,2020,RIVERS
1,0,103343.0457,225505.0114,39083.9875,123347.775,2021,RIVERS
1,0,270537.4855,225505.0114,39083.9875,172823.2325,2022,RIVERS
1,0,426840,232576.2062,80940.55432,172823.2325,2023,RIVERS
0,0,46634.17446,47710.4978,12324.74256,19005.09354,2019,SOKOTO
0,0,54118.44884,42363.2367,14292.42373,11796.82713,2020,SOKOTO
0,0,48984.43328,71290.13324,16397.98802,23762.99976,2021,SOKOTO
0,0,58035.82696,90595.00277,16397.98802,23617.1722,2022,SOKOTO
0,0,146190,89215.92651,36472.3814,23617.1722,2023,SOKOTO
0,0,34594.62763,82321.12772,6824.312899,6533.106447,2019,TARABA
0,0,43826.28094,106045.2591,7922.86178,8114.973143,2020,TARABA
0,0,36623.19198,93184.99122,20844.17851,9625.942714,2021,TARABA
0,0,50060.70151,87959.86661,20844.17851,10238.11013,2022,TARABA
0,0,123050,81329.55917,23427.41175,10238.11013,2023,TARABA
1,1,35141.93954,28977.02699,8743.206738,8499.227401,2019,YOBE
1,1,49439.41182,54866.19772,10116.99717,6810.915628,2020,YOBE
1,1,41674.48615,82461.34949,10098.74368,8460.64798,2021,YOBE
1,1,53917.12695,90776.48812,10098.74368,10456.7768,2022,YOBE
1,1,124140,91419.36097,21488.96749,10456.7768,2023,YOBE
0,0,32221.42376,70841.49274,10596.70179,15416.04341,2019,ZAMFARA
0,0,41446.50323,98017.52612,12224.25724,18499.25209,2020,ZAMFARA
0,1,36914.42043,99939.74605,12945.62541,18980.6412,2021,ZAMFARA
0,1,54730.27871,112197.06,12945.62541,19439.73222,2022,ZAMFARA
0,0,119170,110567.1809,29051.19879,19439.73222,2023,ZAMFARA
